Easting,Northing,Name,T/A,Grant Number,Driller,Date Drilled,Abstraction Volume per day,District,Borehole Depth,Static Water Level,Yield l/s,Status,Functionality,Permanent Casing Diameter,Type of Pump Installed,Water Point Use,Licenced,Well Development Duration,Pump Capacity,Pump Installed Depth,Main Water Strike Depth (MBGL),DWL,Turbidity,Temp,Conductivity,pH,Alkalinity,Hardness,Calcium,Magnesium,Sodium,Potassium,Carbonate,Bicarbonate,Sulphate,Nitrate,Ammonium,Iron,Manganese,Flouride,Dissolved_Solids,Chlorine,Suspended_Solids,Facaeal,E. Coli
547745,8498821,Demba,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547809,8511715,Chapenya,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548011,8508294,Mondwe Trading Centre,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548109,8512535,Kaputa,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548231,8507569,Mondwe school,,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548251,8555427,Mwalawanyenje,SC Kayembe,,Borehole Construction Fund,,,Kasungu,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548310,8498116,James,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548518,8508576,Siwinda,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548533,8497927,Kapalanyerere Bore,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548569,8504482,Mdanjiri  school,Demela,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548621,8468422,Mkoloweko,SC Kayembe,,Sawa Group,9/18/2016,,Lilongwe,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548802,8496453,Yabonga,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548819,8494779,Katembo,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548931,8494384,Mphamba,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548969,8495541,Simwanjere,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549025,8497511,Kadzisake,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549072,8512570,Kalumo,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
