Easting,Northing,Name,T/A,Grant Number,Driller,Date Drilled,Abstraction Volume per day,District,Borehole Depth,Static Water Level,Yield l/s,Status,Functionality,Permanent Casing Diameter,Type of Pump Installed,Water Point Use,Licenced,Well Development Duration,Pump Capacity,Pump Installed Depth,Main Water Strike Depth (MBGL),DWL,Turbidity,Temp,Conductivity,pH,Alkalinity,Hardness,Calcium,Magnesium,Sodium,Potassium,Carbonate,Bicarbonate,Sulphate,Nitrate,Ammonium,Iron,Manganese,Flouride,Dissolved_Solids,Chlorine,Suspended_Solids,Facaeal,E. Coli
578484,8499116,Chilembwe 1,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578508,8497116,Jotani. botehole,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578510,8494383,Gunde. Protected  dug  well,SC Chakhaza,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578524,8517996,Labani,SC Chakhaza,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578536,8518329,Daniel,SC Chakhaza,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578582,8520572,Choma .,SC Chakhaza,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578623,8521194,Kanjere,SC Chakhaza,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578779,8519356,Nyawa,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578785,8514352,Chamjokonya,SC Chakhaza,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578799,8518195,Chatewa 2,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578939,8494361,Malandi,SC Chakhaza,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578940,8522446,Msanjo,SC Chakhaza,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578999,8520414,Chafoma village,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579033,8496179,Chimbalanga,SC Chakhaza,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579121,8523561,Chimutha,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579230,8506963,Baton  Nthala,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579245,8512625,Chimungu      2,SC Mwakaboko,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579246,8939472,Mwandambo Lusekelo,Mponela,,,,,Karonga,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579260,8503315,chikuluti,Chigonthi,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579317,8473124,Dzama,Bolero,,Saifro Limited,9/5/2016,,Lilongwe,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579322,8777094,Sitima,SC Chakhaza,,Sawa Group,9/25/2016,,Rumphi,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579323,8521027,Kaulimbo,SC Chakhaza,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579383,8520159,Chinkwiri,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579465,8512847,Kanyenda    2,Mponela,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579469,8504099,Agriculture,SC Mponela,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579475,8498200,Chitete,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579583,8512939,Kanyenda,SC Chakhaza,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579583,8519973,Nyanda,SC Mponela,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579589,8499988,Mshangulu,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579608,8507970,Nyongani,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579612,8514312,Mpanda,SC Chakhaza,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579622,8520213,Chinkhwili village,Mponela,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579702,8505133,Mponela,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579710,8495601,Mthumba,Mponela,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579710,8503646,Mponela 2 school,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579734,8508195,Langwani  Primary school,Mponela,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579741,8503870,Mponela rural hospital,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579742,8513156,Nkhosano   and  Chifupa,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579746,8506593,Chipaka,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579753,8512041,Palawo,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579761,8491088,Mnjeza,SC Chakhaza,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579831,8521256,Kampaliro,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579856,8507863,Nyongani,SC Mponela,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579920,8490362,Chakhala primary school,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579926,8508236,Bango,Mponela,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579933,8503734,kadilia mosque,SC Mponela,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579952,8490261,Chakhala,SC Mponela,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579998,8498285,Chikwete  primary,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579999,8514571,Lipemphe,SC Chakhaza,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580070,8522661,Josam,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580075,8494446,Mjingi,Mtunthama,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580080,8556360,Guchi,Mponela,,Sawa Group,9/18/2016,,Kasungu,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580148,8502041,Konze,SC Mponela,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580177,8496121,Jamu  2,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580182,8505901,Makwani,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580183,8509971,Mkwapukwapu,Mponela,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580278,8503866,chidothi Christian private school,Mitundu,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580312,8420642,Kaundu,SC Mwakaboko,,Saifro Limited,9/3/2016,,Lilongwe,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580414,8939981,Mwandambo,Dzoole,,,,,Karonga,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580449,8512147,Msatsi  Village,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580498,8512977,Chimungu  Primary  school    2,Kilupula,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580567,8921237,Smoni  Musopole,Dzoole,,,,,Karonga,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580583,8512879,Chimungu  Primary  School,Mponela,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580596,8502902,Nason,SC Mponela,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580601,8495464,Kapida  3,Mponela,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580601,8504026,Francis,,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580716,8792245,Lundu sch,Mponela,,Borehole Construction Fund,,,Rumphi,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580726,8503893,jubasi,Rumphi,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580727,8792399,Chisimuka,SC Mponela,,Sawa Group,10/29/2016,,Rumphi,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580747,8496414,Jamu,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580776,8514275,Kapandiwa,SC Mponela,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580780,8495690,Kapida  2,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580784,8513888,kapondo 1,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580802,8494886,Aimalandiwo primary,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580813,8488429,Lunda,Kilupula,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580835,8919579,Chikutu Primary school  2,Kilupula,,,,,Karonga,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580899,8919591,Chikutu Primary school,SC Chakhaza,,,,,Karonga,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580973,8521605,Mponda,SC Mponela,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581027,8496426,Mguba,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581033,8514116,Kapondo,SC Mponela,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581054,8494983,Namwiri,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581159,8488953,Mkulera,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581191,8505282,Malambo school,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581247,8507857,Kapichila  Chipeni Water  Point,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581252,8514131,Nkhude,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581349,8511875,Mtsatsi     2,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581365,8493920,Salala senti,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581369,8488705,Lunda,SC Mponela,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581381,8492698,Mthuzi,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581461,8489679,Kalankhwinya,SC Mkukula,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581473,8485157,Zungulira,SC Mponela,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581494,8495328,Kapida 1,SC Mponela,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581528,8492796,Mthunzi,SC Mponela,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581538,8494237,Tsiru,SC Chakhaza,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581562,8520861,Mtambe,SC Chakhaza,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581565,8516944,Chambidzi school,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581596,8488784,Galanga,SC Chakhaza,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581601,8516255,Mwadzama,Engucwin,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581615,8759190,Chivwamba,SC Mponela,,Sawa Group,8/26/2016,,Mzimba,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581622,8495593,Kambulire,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581628,8507735,Msiyambiri,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581658,8488996,Mzungu   protected dug well,SC Chakhaza,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581729,8515803,Remember,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581740,8509562,Mwalimo    botehole  2,SC Mponela,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581748,8494876,Sese,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581790,8507941,Msiyambiri    2,SC Chakhaza,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581795,8516464,wizili chidothi,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581803,8510222,Mwacheka    botehole  2,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581823,8509497,Mwalimo,SC Chakhaza,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581843,8515928,Chilumpha,SC Chakhaza,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581854,8516172,Chilembwe,SC Mponela,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581882,8492997,Menonite bretheren,SC Chakhaza,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581919,8516981,Kasomphe,SC Mponela,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581930,8493362,Mumbwa,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581959,8509208,Mtseketana,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581975,8510048,Mb'iya,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581976,8510187,Mwacheka,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582006,8509982,Mb'iya     2,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582026,8511429,Mphezi     1,Mponera,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582086,8513490,Magondo,SC Mponela,,Sawa Group,8/12/2016,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582089,8497632,Laisi,SC Mponela,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582109,8497265,Mazinga,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582128,8512069,Mphezi   Water  point,Bowe,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582147,8513396,Makalani,Kilupula,,Sawa Group,8/16/2016,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582222,8924215,Chisi Primary school,SC Mponela,,,,,Karonga,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582245,8495285,Mingu,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582283,8511419,Mphonde Water  Point,SC Mkukula,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582295,8484551,Mapondera,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582307,8509695,Galawi,SC Chakhaza,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582376,8516293,Kadzimete,SC Mponela,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582417,8496111,Malenga,SC Mkukula,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582474,8478856,Saika dumani,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582494,8509755,Galawi     2,SC Chakhaza,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582502,8516546,Chikwanda,SC Mponela,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582515,8495784,Mtsinje,SC Mponela,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582530,8500004,Kamphampha,Kilupula,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582584,8918696,Kenson Briton,Dzoole,,,,,Karonga,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582623,8515278,Tembo,SC Mkukula,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582631,8480467,Mkhota,SC Mkukula,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582647,8478790,Mjiigo wa kwa saika,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582655,8489019,Kadolo,SC Mkukula,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582666,8480464,Mjigo wa ku Dambo,SC Mponela,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582668,8502580,Ndala,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582686,8489658,Kapichira 3,SC Mkukula,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582692,8480473,Mjigo wa ku Mseu,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582704,8489816,Zakeyu,SC Mkukula,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582727,8482153,Mononga,SC Mkukula,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582729,8482157,Mjigo wa ku bwalo la mfumu,SC Mkukula,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582744,8482350,Mjigo wa ku mseu,SC Mkukula,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582750,8482345,Manondo zikiyele,Engucwin,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582779,8760394,Chankhanga,Mtunthama,,Sawa Group,11/21/2016,,Mzimba,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582801,8556348,Msiwa,Dzoole,,Sawa Group,9/17/2016,,Kasungu,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582831,8505715,Msopa Water  Point,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582858,8514763,Joshua,SC Mponela,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582882,8502831,Kachulu primary school,SC Mkukula,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582889,8478625,Simankhwala primary school,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582898,8509978,Khongo   2,SC Mponela,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582900,8498868,Kadammanja,SC Mkukula,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582906,8487578,Ndembo,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582920,8509458,Tchawale  CDSS,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582927,8510060,khongo   Leven,SC Mkukula,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582928,8486179,Chingowe 2,Dzoole,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582933,8509545,Tchawale  Primary  School,SC Mponela,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582936,8491379,Mbwadzulu,SC Chakhaza,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
